id,component,peaks,intensity
1,12-methyltetradecanoic acid,"[669, 772, 818, 840, 905, 983, 990, 1018, 1040, 1063, 1098, 1130, 1141, 1171, 1265, 1296, 1302, 1344, 1371, 1380, 1412, 1440, 1447, 1459, 1472, 1505, 1649]","[0.0663058511210542, 0.11500224269511967, 0.2819853268752775, 0.06717424202554888, 0.3075975276262832, 0.09302863703269725, 0.10571822216894201, 0.12521291727500936, 0.08183570672793813, 0.7965077238171802, 0.6637907987636037, 0.09079832698841687, 0.6473784765072207, 0.06096697595964989, 0.10162029741994935, 0.6546717799584348, 0.4843746050993277, 0.08069070933541848, 0.06074582915053037, 0.05789676459221833, 0.18307131422450654, 0.9847437006640987, 0.9183939853403156, 0.6360882168266239, 0.42264405417441303, 0.06116695071932221, 0.11879890778415067]"
2,13-methylmyristicacid,"[822, 907, 917, 936, 1061, 1098, 1134, 1170, 1272, 1296, 1371, 1410, 1447, 1469, 1492, 1649]","[0.12030360254332302, 0.13736232744449037, 0.13762411179026154, 0.031700413310823204, 0.1277535529635321, 0.11321578744392037, 0.10848439725822914, 0.02223667382780722, 0.044725337054391134, 0.17186945410808055, 0.02580994823138445, 0.04428366877398469, 0.8636682285758951, 0.6071825984255759, 0.07373475716427297, 0.05679787682575397]"
3,14-methylhexadecanoic acid,"[452, 667, 771, 788, 815, 834, 906, 969, 983, 995, 1006, 1031, 1062, 1104, 1140, 1170, 1186, 1253, 1296, 1344, 1370, 1411, 1441, 1465, 1479, 1649]","[0.030607124110252668, 0.051817886890176065, 0.056860507036468805, 0.040225683376226326, 0.05755492161701949, 0.05739591053674699, 0.17130539423299304, 0.044041357259748636, 0.0416875054710835, 0.05232580790232662, 0.04391048150753837, 0.0788242423221773, 0.30177928768989415, 0.2991467307084348, 0.2303416260557271, 0.01562430092314024, 0.018007321346218942, 0.031055525334207048, 0.2282058816828767, 0.02480344093368947, 0.03915948035087806, 0.05579702605587787, 0.6584025454716752, 0.49532139845068407, 0.3212721346744403, 0.07586354325029913]"
4,14-methylpentadecanoic acid,"[666, 815, 831, 904, 918, 940, 952, 1048, 1061, 1102, 1135, 1170, 1244, 1270, 1284, 1296, 1337, 1370, 1412, 1445, 1465, 1651]","[0.08649600341063801, 0.22924499349714125, 0.09329661934116311, 0.24803160063667148, 0.07623670716044166, 0.07166248458259476, 0.11053322536946457, 0.06584513158140429, 0.8332802803499841, 0.39946725661272764, 0.7063883081670713, 0.08657812682633306, 0.03397471676580866, 0.039943995782654625, 0.18969544866013488, 0.9713414184287249, 0.04153679805579786, 0.07565768872035085, 0.19363011658744747, 0.9534964005176599, 0.6510290997686136, 0.07805530044588088]"
5,15-methylpalmiticacid,"[467, 516, 666, 801, 820, 846, 905, 910, 930, 952, 1010, 1050, 1061, 1103, 1135, 1171, 1188, 1259, 1296, 1306, 1323, 1340, 1369, 1386, 1410, 1448, 1464, 1501, 1648]","[0.06344067601498096, 0.050376826866222586, 0.03863837709549054, 0.07199505413521544, 0.3812875458135758, 0.03299133020966566, 0.16056813027443914, 0.11022307412439857, 0.06399144504048722, 0.12073695273519412, 0.05193430920675358, 0.06493471910301901, 0.6580488428432841, 0.35969604863078064, 0.6992308447007313, 0.10085516556581464, 0.03369520717868035, 0.03241353611344315, 0.9775212885194465, 0.21863891749217043, 0.029852402190868873, 0.042019368666890614, 0.05358363435691767, 0.032051674858825076, 0.07991042443503212, 0.9515498531180856, 0.7178301487345877, 0.057194947067240536, 0.0529737897603444]"
6,acetoacetate,"[486, 498, 519, 551, 582, 640, 719, 761, 830, 903, 928, 1005, 1025, 1087, 1158, 1171, 1191, 1219, 1283, 1326, 1362, 1399, 1422, 1444, 1580, 1600, 1626, 1653, 1703, 1715]","[0.06439106672669359, 0.15669386652636663, 0.11334375981811474, 0.1755559111055723, 0.18456745373813427, 0.5522370601865686, 0.09974401322726698, 0.38857843637103123, 0.9991641666055359, 0.29232340578273364, 0.4354739509290327, 0.38442378304185576, 0.2210270569790098, 0.07615664656024697, 0.31812581007690716, 0.23784969656883176, 0.2951021213956172, 0.0692325012364871, 0.12173706390530943, 0.18687697560310285, 0.12137503646151229, 0.8401524216273145, 0.65332440886379, 0.7980477568064612, 0.16136060047101472, 0.05764031166121126, 0.05251100716314938, 0.08616763088119826, 0.8915921179918918, 0.4188773269598029]"
7,acetyl coenzyme a,"[496, 531, 564, 631, 683, 724, 799, 882, 926, 948, 1026, 1045, 1094, 1121, 1207, 1243, 1306, 1333, 1375, 1408, 1462, 1508, 1559, 1576, 1658]","[0.1950731190155493, 0.19865539447132063, 0.19065506016708686, 0.440217499223995, 0.07227548438645687, 1.0, 0.2977053190520513, 0.21090823613571882, 0.0918773918306176, 0.09126512743043858, 0.16689884087881238, 0.20317407491322462, 0.18274995096130858, 0.38155171909194274, 0.17132054365509664, 0.24165617222179914, 0.47485121784780887, 0.6903442616889731, 0.3322442547949839, 0.37714176779286884, 0.28584454309869783, 0.27135073769923346, 0.10399875048466937, 0.19006017792140506, 0.11223244493646296]"
8,adenine,"[536, 560, 623, 723, 898, 941, 1024, 1125, 1162, 1134, 1248, 1307, 1332, 1371, 1419, 1462, 1482, 1612]","[0.3307681737339085, 0.05352534636622935, 0.19877563871696488, 1.0, 0.0822630530340394, 0.20952888069931258, 0.0726019518427379, 0.1848138811591983, 0.03153649203953063, 0.058788571956441306, 0.2865758198222784, 0.09715834553908098, 0.4581528016632097, 0.11121787774251736, 0.05304069963147946, 0.081577595428075, 0.19127802519972012, 0.05082832104484841]"
9,amylopectin,"[477, 515, 578, 612, 717, 762, 769, 866, 905, 940, 1051, 1082, 1109, 1127, 1264, 1339, 1378, 1460]","[0.9924288760938414, 0.11437945788800977, 0.10908250265104247, 0.07900070392388667, 0.04944283384745003, 0.05410057580675532, 0.07656519553523854, 0.29315931049941935, 0.16254543701697285, 0.4766551055877002, 0.2840169075421013, 0.4041305436956643, 0.4118012643288992, 0.46435163668601176, 0.15691091934901072, 0.36774926718905127, 0.3088710685376619, 0.26077906044836136]"
10,amylose,"[481, 579, 712, 758, 854, 901, 936, 944, 1045, 1083, 1123, 1208, 1262, 1267, 1339, 1379, 1460]","[0.999261813663239, 0.22749666135713284, 0.07790342781617635, 0.09916756486878078, 0.526769994376624, 0.18601068604955, 0.6085467564518502, 0.4779775818207125, 0.42033573200949564, 0.667837509581887, 0.7153505326823991, 0.08949466576563382, 0.24528122937673666, 0.2090579429281404, 0.5970635295268212, 0.5136084313436989, 0.34111272789332636]"
11,ascorbic acid,"[566, 588, 629, 696, 710, 820, 1025, 1130, 1256, 1296, 1319, 1498, 1653, 1667]","[0.5247623296749147, 0.17384108878549914, 0.5309388701057349, 0.17607744982072457, 0.221061670480578, 0.6300494151641938, 0.20194392062274513, 0.9146072628332154, 0.5293767731076467, 0.2169491722793568, 0.5020476970053711, 0.25091716415542314, 0.9885593013050692, 0.9570168674521518]"
12,cellulose,"[458, 493, 520, 577, 896, 969, 998, 1046, 1061, 1096, 1120, 1147, 1266, 1337, 1379, 1413, 1461]","[0.17438057354959366, 0.03471801091666663, 0.13303191095267763, 0.1007579753549473, 0.2043204718827032, 0.08781257021453467, 0.09225605862387225, 0.17187361629290532, 0.261840531591388, 1.0, 0.5584927789629803, 0.28223973362639904, 0.14203668087292373, 0.2634981314884724, 0.3333945973453282, 0.1800689562141708, 0.14911096019598485]"
13,chitin,"[460, 498, 711, 895, 955, 1059, 1107, 1149, 1205, 1262, 1328, 1371, 1414, 1449, 1626, 1656]","[0.2541549873342946, 0.4194419082878176, 0.14851488346111097, 0.47098876765919134, 0.5515659796755606, 0.43972707777604414, 1.0, 0.5125569130467775, 0.17143470064292435, 0.25860558480905194, 0.5196963345178722, 0.6189599087118917, 0.4084033745748498, 0.24425951259469436, 0.19996732213580193, 0.2284970586540408]"
14,citric acid,"[489, 513, 554, 597, 641, 685, 784, 881, 903, 942, 1053, 1082, 1145, 1170, 1211, 1345, 1390, 1426, 1434, 1465, 1633, 1691, 1732]","[0.02967055302437718, 0.13117656422176116, 0.1739415317956208, 0.13195287387008217, 0.07473076478694694, 0.18539228184982856, 1.0, 0.059992934911570386, 0.23411516084961284, 0.5877650191706189, 0.15704098955319085, 0.1572340842852168, 0.07339611682692841, 0.04503329605276701, 0.16018783701471012, 0.058597412887064396, 0.1969983022542439, 0.08119186686418749, 0.12406570487469498, 0.07838883800632096, 0.06462815116430728, 0.29208895238278265, 0.16572895290321465]"
15,coenzyme a,"[525, 559, 633, 663, 722, 787, 803, 879, 927, 949, 1027, 1053, 1100, 1157, 1203, 1248, 1325, 1407, 1420, 1461, 1508, 1557, 1608, 1654]","[0.24007099655072772, 0.13116054117834575, 0.0348300573914308, 0.21286207531641738, 1.0, 0.12225826537290353, 0.3571808063294928, 0.25522475621911467, 0.07006955907022354, 0.05771226533445583, 0.14091214320610526, 0.17536032271564944, 0.15637927137252214, 0.07386887281631083, 0.15370944156660715, 0.11669666289674109, 0.525053328866507, 0.476781933942956, 0.4097799368736883, 0.2492056122350645, 0.39834259077411655, 0.2718237160831486, 0.08600863111800837, 0.08815858908366844]"
16,cytosine,"[537, 548, 568, 599, 792, 971, 991, 1011, 1108, 1250, 1275, 1362, 1460, 1493, 1533, 1653, 1690]","[0.28256360083224885, 0.4043609433977442, 0.03471852868885752, 0.3994361791228994, 0.9892663607862495, 0.19234925830317315, 0.05281881258106553, 0.05837092415269365, 0.14992473001878526, 0.3309311343004538, 0.8787648665605072, 0.15825416733662645, 0.08229924547484015, 0.032323564069121735, 0.09810259354748037, 0.1565398117263754, 0.07819786708459726]"
17,d-(+)-dextrose,"[541, 652, 772, 841, 914, 1022, 1054, 1075, 1108, 1149, 1272, 1330, 1346, 1459]","[1.0, 0.12657660269420515, 0.17015274583733422, 0.667811490673065, 0.3681044231589679, 0.17945990593635905, 0.29074467492380407, 0.5156432041779487, 0.4092302157507996, 0.13267076473337183, 0.18045126874489692, 0.21834045514976927, 0.39199838264407066, 0.21140062805488075]"
18,d-(+)-fucose,"[529, 669, 700, 772, 815, 879, 964, 1032, 1076, 1088, 1113, 1129, 1155, 1256, 1273, 1331, 1452]","[0.35966762600531893, 0.41496944315253065, 0.2017406366432371, 0.2766617378344685, 0.8172583368530767, 1.0, 0.25870786299810583, 0.2404247794486623, 0.2866268287364606, 0.2875470463521701, 0.5923825951911869, 0.4494588902860351, 0.406898186866258, 0.4194587857755215, 0.8108031547754286, 0.5812078579238987, 0.5870378561497096]"
19,d-(+)-galactosamine,"[462, 530, 606, 657, 704, 776, 822, 872, 887, 938, 948, 999, 1020, 1038, 1062, 1094, 1121, 1143, 1153, 1238, 1267, 1318, 1336, 1369, 1386, 1452, 1468, 1514, 1588, 1616]","[0.2704786137510293, 0.9946028247215001, 0.15882180440249333, 0.07656308232833936, 0.06388803890214707, 0.041528632429023576, 0.05045996257823707, 0.800598035677508, 0.20370964619665977, 0.22773242808711353, 0.2888315693683564, 0.11334815988376566, 0.3469665036531859, 0.1655986446409585, 0.4109866048274741, 0.24664323545988182, 0.27153139201379156, 0.46699181033641846, 0.39708960158064566, 0.19944759924200994, 0.8588537312695806, 0.06521253136032051, 0.19793080121487228, 0.17565308932025744, 0.32212254715466015, 0.16125724413078543, 0.11721989933056674, 0.13869444597711578, 0.11127793185199583, 0.09358620362272563]"
20,d-(+)-mannose,"[473, 495, 530, 576, 604, 621, 683, 830, 861, 882, 914, 934, 958, 1033, 1087, 1106, 1139, 1239, 1263, 1352, 1369, 1459, 1481]","[0.1340215049821374, 0.6198628490488878, 0.48998506696410365, 0.11601106229628916, 0.11113755514979998, 0.13513948103334228, 0.22266575152958668, 0.6143324786390758, 0.6145474122601194, 0.4971254770124898, 0.29117482730284183, 0.1438135124466143, 0.2288584757349456, 0.21304360434269637, 1.0, 0.5728551631532224, 0.24835909338466908, 0.33317249601796184, 0.3375651598871825, 0.30312964304357426, 0.2993069848116635, 0.23882466934008473, 0.18303837863141567]"
21,d-(+)-trehalose,"[450, 523, 540, 580, 604, 671, 697, 732, 804, 838, 912, 927, 957, 1018, 1061, 1080, 1102, 1120, 1149, 1211, 1220, 1240, 1261, 1273, 1313, 1330, 1358, 1371, 1386, 1411, 1455, 1469]","[0.29311626252909256, 0.9810706720427704, 0.5230023665503736, 0.06780867254805417, 0.23273721761083838, 0.20775904248700827, 0.19806978760966532, 0.06769875149187056, 0.20740561315601333, 0.8253386675783889, 0.7011877452237861, 0.09465814511447201, 0.1447238541209231, 0.3515060526728098, 0.5055222983060226, 0.43985208717429874, 0.57838896140918, 0.7773131889521901, 0.7765116129342781, 0.10848088048121567, 0.10190964818225759, 0.23553153633262677, 0.1521723432504612, 0.13400092445896322, 0.21138949749851835, 0.4767296017239389, 0.7133865287723445, 0.4487958802029446, 0.3796359712133181, 0.2914991736834944, 0.3201113212584721, 0.15059064600629618]"
22,d-(+)-xylose,"[504, 526, 565, 608, 757, 903, 930, 1017, 1086, 1115, 1148, 1315, 1340, 1374, 1398, 1468]","[0.2755222195791118, 0.7524659609627242, 0.26494409941699043, 0.23628780969654764, 0.13957936949696784, 0.9995405413614712, 0.3439794240799704, 0.09892362295205674, 0.672723276539184, 0.4688650885064091, 0.22115855931592648, 0.14787860226034785, 0.21483701994156462, 0.15581597699034908, 0.23584099681425755, 0.08297178252873366]"
23,d-(-)-arabinose,"[512, 580, 613, 698, 843, 896, 936, 994, 1052, 1095, 1138, 1259, 1311, 1356, 1375, 1476]","[0.18392076597071852, 0.23930354299826043, 0.22940367621981977, 0.29351316592965415, 1.0, 0.11628115809838403, 0.1641441512724321, 0.19453540822546947, 0.1778989905050364, 0.18647157574259496, 0.14006284137857716, 0.3772790461999935, 0.1987183347735305, 0.10907228653418398, 0.11196726414361119, 0.27242063247036347]"
24,d-(-)-fructose,"[463, 526, 595, 626, 818, 872, 925, 978, 1048, 1060, 1082, 1143, 1176, 1250, 1265, 1340, 1399, 1455, 1471]","[0.20541901343062016, 0.3122120728193383, 0.3363860715767226, 0.9893832068822954, 0.5747490826705028, 0.5349104303184143, 0.1772990238016528, 0.23804405827191044, 0.22521173510087927, 0.16357992464982807, 0.3422810440566331, 0.13260077618172444, 0.14156345526609626, 0.16666106666999095, 0.4150584944891683, 0.09779353778741116, 0.08487355044545475, 0.1498137096132528, 0.32734301567244034]"
25,d-fructose-6-phosphate,"[534, 617, 716, 834, 973, 1071, 1127, 1229, 1266, 1347, 1376, 1458, 1724]","[0.3333842693945431, 0.22351333481109129, 0.051269715769789684, 0.35174559698978464, 1.0, 0.35667320707995365, 0.20903617735603106, 0.0375475222510829, 0.16655685075371995, 0.13484328450394684, 0.12019926890380668, 0.3125954596624546, 0.03362789401238498]"
26,fumarate,"[768, 913, 982, 1293, 1430, 1563, 1593, 1629, 1640, 1657]","[0.14976638539234954, 0.21042597977115457, 0.2788033198338171, 0.4014590042338269, 1.0, 0.05147119276089833, 0.030484427663444353, 0.09330650871341066, 0.07665919162000881, 0.6979681724878318]"
27,glutathione,"[523, 550, 625, 643, 660, 679, 722, 776, 811, 828, 867, 885, 917, 931, 953, 972, 988, 1015, 1041, 1074, 1117, 1143, 1169, 1224, 1235, 1255, 1280, 1309, 1334, 1368, 1403, 1415, 1443, 1455, 1536, 1629, 1660, 1703]","[0.1207446452692202, 0.2814167675472325, 0.7927302774562242, 0.3383975241167938, 0.49868579418799786, 0.9920613357344709, 0.040112881980268966, 0.46545309290998327, 0.206850715526545, 0.3417730020511432, 0.28967471999516775, 0.5775313386093432, 0.431898776657555, 0.5975518569880788, 0.2649004618818892, 0.12053128641037165, 0.24138797477818, 0.27544492929278913, 0.38558524063362565, 0.11404244840287199, 0.12855383564982556, 0.1457871934760999, 0.3497221892706292, 0.33097933807086927, 0.21600118272586166, 0.12152205623173529, 0.5469543154440438, 0.3507755059290213, 0.4401439800147956, 0.3096511269364968, 0.36442929076569086, 0.30321393665293517, 0.31113660027327783, 0.1462395121652857, 0.06682072018350729, 0.37915911951937586, 0.15689223835485935, 0.14063439253647103]"
28,glycerol,"[485, 548, 675, 820, 850, 923, 976, 1055, 1110, 1257, 1315, 1465]","[0.6307455600937292, 0.10693929512402199, 0.22442296620203459, 0.587002256850439, 1.0, 0.3762867626640114, 0.1442844403088686, 0.867728753202212, 0.5719681942134883, 0.36306216540348407, 0.2767161826166587, 0.7700046451855006]"
29,glycine,"[504, 560, 606, 686, 894, 932, 1049, 1129, 1156, 1323, 1338, 1346, 1398, 1441, 1499, 1589, 1627, 1634, 1674]","[0.45719541896017823, 0.05700300503399298, 0.09084055739523941, 0.1837141839481487, 0.9041763230353842, 0.057261181013899695, 0.16621913525534038, 0.084485854021964, 0.03586896117974348, 0.1260523769844596, 0.11897041718573512, 0.11663273705404845, 0.10243405701334109, 0.258134587515014, 0.05038027143757786, 0.04904217837222872, 0.032392235364979385, 0.045910094439781064, 0.04030543487692806]"
30,guanine,"[496, 548, 563, 650, 711, 849, 937, 1048, 1158, 1187, 1234, 1266, 1360, 1391, 1422, 1468, 1479, 1550, 1602, 1674]","[0.23111207816721607, 0.10858390628710565, 0.16356540211694884, 1.0, 0.05715393021912554, 0.09959040887436771, 0.3427466932893943, 0.052045340109914955, 0.04000318015400803, 0.10589222125133603, 0.4149662155933515, 0.29612940423559087, 0.17050237337659904, 0.23796515521341935, 0.18369649202189312, 0.09682073243782893, 0.05400295489832601, 0.26770221874894673, 0.04960720546093181, 0.07266530767244458]"
31,l-alanine,"[480, 532, 652, 773, 851, 920, 1021, 1112, 1146, 1236, 1305, 1359, 1378, 1409, 1462, 1482, 1499, 1596]","[0.047846364347796405, 0.3434099978231511, 0.11020373775809354, 0.19672493401888694, 1.0, 0.13326250675392506, 0.33899811361347926, 0.2816707699368811, 0.2054607890730692, 0.06726855846282755, 0.554607149376889, 0.8048378649042724, 0.1346425278722647, 0.22068487568300563, 0.4657631425649339, 0.4029228078767527, 0.1365147741056958, 0.2263565663967438]"
32,l-arginine,"[490, 551, 577, 613, 849, 879, 922, 982, 1036, 1067, 1100, 1122, 1189, 1264, 1298, 1330, 1377, 1436, 1475, 1713]","[0.1424820595202226, 0.2772207641687359, 0.195781514229419, 0.23026372008897122, 0.22350034699134558, 0.18153398349631183, 0.1351047072020476, 1.0, 0.11611379531523042, 0.5294644242228703, 0.29685534048770806, 0.1078169251907809, 0.2003057129134958, 0.11304547209300611, 0.2606473090386037, 0.1808449192473272, 0.03910782830428586, 0.4112324808002187, 0.20259018766905024, 0.06361047403396443]"
33,l-glutamate,"[477, 499, 529, 604, 633, 663, 740, 775, 792, 808, 857, 876, 925, 942, 1003, 1042, 1056, 1075, 1095, 1123, 1142, 1160, 1192, 1258, 1282, 1293, 1317, 1341, 1353, 1401, 1421, 1434, 1517, 1536, 1570, 1605, 1624, 1641, 1683]","[0.11017396384306584, 0.3044102607398803, 0.2541768443311645, 0.15085061143165007, 0.07084380624027711, 0.14819023016441646, 0.0581688336438241, 0.25369643187971264, 0.15398165955669266, 0.17494161875973183, 0.7450169570751918, 0.354142094208506, 0.19613381920268097, 0.997763561979306, 0.14962563925741157, 0.08065013159169311, 0.16077877082224795, 0.14861802514982286, 0.2058644653409065, 0.12160292518466959, 0.22494995416054012, 0.17121549670316796, 0.05045507715428406, 0.03380553697114207, 0.22505722256605118, 0.18611922752235355, 0.3809440119299659, 0.4064910080322654, 0.2893349075186276, 0.8192171035746526, 0.4201201183397133, 0.5125899161788856, 0.06092863742193717, 0.06724169363965783, 0.07195893387810999, 0.121464250355253, 0.08542074970210267, 0.08413431981813356, 0.02673051789711434]"
34,l-histidine,"[540, 623, 656, 680, 731, 784, 804, 824, 852, 918, 929, 963, 976, 1061, 1087, 1111, 1140, 1174, 1224, 1250, 1271, 1317, 1336, 1347, 1407, 1430, 1476, 1498, 1538, 1571, 1608, 1639]","[0.09899624912393148, 0.05131581748881503, 0.15486968147961142, 0.04153171783777653, 0.06569317525660227, 0.09617103072473912, 0.14880230017656104, 0.056716467814887116, 0.2560662003583022, 0.16239633765609476, 0.11316546369911876, 0.12555283633597725, 0.15740773267327052, 0.158419750911619, 0.33757444670585784, 0.224477849420563, 0.0860650591576061, 0.24382858979096653, 0.16921918653422757, 0.1586567776062108, 0.4005092833409573, 0.978030473392771, 0.17741502577116092, 0.20481168587299578, 0.13639219539093556, 0.13033338246033851, 0.09137626044764438, 0.25046492570405027, 0.052290851219085596, 0.21931363668305118, 0.030654397604324236, 0.04041763054802572]"
35,l-phenylalanine,"[468, 527, 605, 622, 747, 832, 852, 951, 1004, 1037, 1157, 1183, 1216, 1308, 1336, 1353, 1447, 1586, 1602]","[0.18259236729520167, 0.08401817578678593, 0.060995177595797714, 0.18505910331305073, 0.12289344035267474, 0.1487501216827784, 0.12846389487524656, 0.0645545200095635, 1.0, 0.19832687161281798, 0.07452402384246709, 0.0704119124603498, 0.1777224954090978, 0.10282334678339089, 0.1014575837495177, 0.07344682336139605, 0.07006691456486477, 0.12119603919326752, 0.1661562734456728]"
36,l-proline,"[452, 563, 577, 642, 681, 774, 793, 834, 842, 850, 877, 899, 916, 930, 947, 951, 987, 994, 1035, 1045, 1083, 1166, 1175, 1194, 1216, 1240, 1267, 1286, 1317, 1333, 1350, 1357, 1378, 1389, 1410, 1418, 1434, 1443, 1454, 1479, 1547, 1605]","[0.696182862670442, 0.10373936163584696, 0.10415776357084784, 0.4564204588197226, 0.2502297864750511, 0.12459276297386004, 0.19709853502758806, 0.8968641364695772, 0.8196436535137996, 0.47687899582470644, 0.42439880936437685, 0.8443598740679803, 0.9939271726355153, 0.4651987995535407, 0.3419422822251631, 0.30554327734648373, 0.3157989411753786, 0.400148803999258, 0.4066726790875664, 0.44841526109993607, 0.35827392134853114, 0.2664752899315063, 0.2633841856844347, 0.24036067388002624, 0.11569315166213986, 0.4923164093997115, 0.43315416220449543, 0.3392010949051758, 0.27838343664089016, 0.3091910999045392, 0.26413271385644044, 0.2431411848550842, 0.4798254627626339, 0.4584681108130339, 0.2716973168659654, 0.23591109622643308, 0.23138310622089456, 0.3569503974271701, 0.6376051789407253, 0.27826735453861434, 0.21992068042060547, 0.17660935651054127]"
37,l-serine,"[515, 611, 813, 853, 910, 922, 968, 1008, 1090, 1134, 1220, 1299, 1326, 1368, 1384, 1416, 1426, 1462, 1599, 1613, 1628]","[0.5067468554275717, 0.4027624828020007, 0.5622017344740283, 0.9994625145914372, 0.04484210969746808, 0.11886743484442379, 0.3552748871356936, 0.4607951989679215, 0.10441739517116234, 0.18584402710995399, 0.11669002636449843, 0.3316207220834951, 0.9209098891407539, 0.04087943774739237, 0.04120432139666296, 0.19314581255443591, 0.19150005240626183, 0.5025813074653336, 0.06262490913757543, 0.09199160396036848, 0.12649224704211134]"
